Transformed_Feature,Native_Importance,Native_Importance_Percent,Native_Rank,Original_Predictor
Distance_to_Road_m,0.4166574744889744,41.66574744889744,1,Distance_to_Road_m
Population_Density,0.16969887014080595,16.969887014080594,2,Population_Density
Distance_to_Surface_Water_m,0.12024756576629832,12.024756576629832,3,Distance_to_Surface_Water_m
Elevation_m,0.11542245261219984,11.542245261219984,4,Elevation_m
Distance_to_Drainage_m,0.0906001119337315,9.06001119337315,5,Distance_to_Drainage_m
Slope_deg,0.0562072509447104,5.62072509447104,6,Slope_deg
Baseline_LULC_2020_1,0.011430518699221555,1.1430518699221555,7,Baseline_LULC_2020
Baseline_LULC_2020_5,0.010514683597343475,1.0514683597343475,8,Baseline_LULC_2020
Baseline_LULC_2020_7,0.006308198310101503,0.6308198310101503,9,Baseline_LULC_2020
Baseline_LULC_2020_4,0.002912873506613159,0.2912873506613159,10,Baseline_LULC_2020
