Metric,Value,Unit
Total reference-grid pixels,16686306.0,pixels
Valid model prediction pixels,8466083.0,pixels
Valid statewide model area,7619.4747,km²
Planning-applicable pixels,6723162.0,pixels
Planning-applicable area,6050.8458,km²
Planning-constrained area,1568.6289,km²
Mean raw expansion probability,0.35004811768632177,probability
Standard deviation of raw probability,0.20392105695144933,probability
Minimum raw expansion probability,0.026844735200165257,probability
Maximum raw expansion probability,0.9290913423809822,probability
Mean constrained expansion probability,0.3136874338144353,probability
Minimum constrained probability,0.026844734326004982,probability
Maximum constrained probability,0.9203692078590393,probability
Mean tree-based uncertainty,0.28443635448906934,standard deviation
Minimum tree-based uncertainty,0.04682546660658083,standard deviation
Maximum tree-based uncertainty,0.4688574888250521,standard deviation
